Material,Data de remessa mais recente,Soma de Saldo,Último UM pedido,Primeiro Fornecedor
35390004547,2023-07-03 00:00:00,500,UN,ITALICA IND. DE EMBALAGENS LTDA
35390004588,2023-07-05 00:00:00,250,UN,ITALICA IND. DE EMBALAGENS LTDA
35390004589,2023-07-05 00:00:00,125,UN,ITALICA IND. DE EMBALAGENS LTDA
35390004596,2023-07-05 00:00:00,525,UN,ITALICA IND. DE EMBALAGENS LTDA
35390004636,2023-07-05 00:00:00,611,UN,ITALICA IND. DE EMBALAGENS LTDA
35390004641,2023-07-05 00:00:00,100,UN,ITALICA IND. DE EMBALAGENS LTDA
35390004680,2023-07-05 00:00:00,3700,UN,BRAGHETO PALETES LTDA - EPP
35390004699,2023-07-05 00:00:00,163,UN,BRAGHETO PALETES LTDA - EPP
35390004701,2023-07-05 00:00:00,500,UN,ITALICA IND. DE EMBALAGENS LTDA
35390004706,2023-07-03 00:00:00,500,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000012,2023-07-05 00:00:00,100,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000025,2023-07-05 00:00:00,165,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000030,2023-07-03 00:00:00,30,UN,NEW KRAFT IND.COM.EMBL.PAP.LTD
36000000032,2023-07-05 00:00:00,50,UN,KRAFOAM EMBALAGENS INDUSTRIA E COME
36000000064,2023-07-05 00:00:00,800,UN,CISO MAD EMBALAGENS LTDA
36000000088,2023-07-05 00:00:00,250,UN,FOTOIMPRESS P. E ARTSGR. LTDA
36000000102,2023-07-03 00:00:00,1530,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000106,2023-07-05 00:00:00,45,UN,NEW KRAFT IND.COM.EMBL.PAP.LTD
36000000111,2023-07-05 00:00:00,100,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000112,2023-07-03 00:00:00,185,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000113,2023-07-05 00:00:00,630,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000114,2023-07-05 00:00:00,1145,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000115,2023-07-05 00:00:00,483,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000116,2023-07-05 00:00:00,1872,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000117,2023-07-03 00:00:00,1211,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000118,2023-07-05 00:00:00,100,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000120,2023-07-05 00:00:00,2172,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000121,2023-07-05 00:00:00,1490,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000122,2023-07-05 00:00:00,700,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000127,2023-07-05 00:00:00,190,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000129,2023-07-05 00:00:00,300,UN,ELDORADO - TEC ESPUMAS DIVERSAS
36000000130,2023-07-05 00:00:00,150,UN,ELDORADO - TEC ESPUMAS DIVERSAS
36000000141,2023-07-05 00:00:00,600,UN,CANTOPLEX INDUSTRIAL LTDA
36000000171,2023-07-05 00:00:00,300,UN,CALDENSE EMBALAGENS LTDA
36000000185,2023-07-05 00:00:00,150,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000212,2023-07-05 00:00:00,970,UN,RIBERGRAFICA LTDA EPP
36000000232,2023-07-05 00:00:00,442,UN,TERMOEPS COMERCIAL E INDUSTRIAL DE
36000000250,2023-07-03 00:00:00,1134,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000280,2023-07-05 00:00:00,90,UN,TERMOEPS COMERCIAL E INDUSTRIAL DE
36000000281,2023-07-05 00:00:00,210,UN,TERMOEPS COMERCIAL E INDUSTRIAL DE
36000000292,2023-07-05 00:00:00,100,UN,KRAFOAM EMBALAGENS INDUSTRIA E COME
36000000294,2023-07-05 00:00:00,59,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000305,2023-07-05 00:00:00,40,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000306,2023-07-05 00:00:00,40,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000308,2023-07-05 00:00:00,23,UN,CISO MAD EMBALAGENS LTDA
36000000352,2023-07-05 00:00:00,37,UN,CAP IND. DE CARROCERIAS LTDA.
36000000362,2023-07-05 00:00:00,2980,UN,ELDORADO - TEC ESPUMAS DIVERSAS
36000000368,2023-07-05 00:00:00,100,UN,Kawagraf Embalagens LTDA
36000000382,2023-07-05 00:00:00,111,UN,FLEXSPUMA EMBALAGENS E ESPUMAS LTDA
36000000383,2023-07-05 00:00:00,200,UN,ITALICA IND. DE EMBALAGENS LTDA
36000000464,2023-07-05 00:00:00,200,UN,ITALICA IND. DE EMBALAGENS LTDA
45300050966,2023-07-05 00:00:00,2,UN,ITURRI COIMPAR INDUSTRIA E COMERCIO
45400000560,2023-07-05 00:00:00,2,UN,ITURRI COIMPAR INDUSTRIA E COMERCIO
45405001700,2023-07-05 00:00:00,8,PC,CAPITALCOMP COM. ELETRONICA LTDA EP
45407000407,2023-07-05 00:00:00,5,UN,ITURRI COIMPAR INDUSTRIA E COMERCIO
45408000021,2023-07-05 00:00:00,66,UN,ITURRI COIMPAR INDUSTRIA E COMERCIO
45408000420,2023-07-05 00:00:00,10,UN,ITURRI COIMPAR INDUSTRIA E COMERCIO
45408000430,2023-07-05 00:00:00,20,UN,ITURRI COIMPAR INDUSTRIA E COMERCIO
45408000469,2023-07-05 00:00:00,40,UN,ITURRI COIMPAR INDUSTRIA E COMERCIO
45410000122,2023-07-05 00:00:00,18,UN,ELETRO TRANSOL IND COM MAT ELE
46000000045,2023-07-05 00:00:00,13,UN,ITURRI COIMPAR INDUSTRIA E COMERCIO
46000000047,2023-07-05 00:00:00,13,UN,ITURRI COIMPAR INDUSTRIA E COMERCIO
46000000054,2023-07-05 00:00:00,6,UN,ITURRI COIMPAR INDUSTRIA E COMERCIO
46000000063,2023-07-03 00:00:00,2,UN,ITURRI COIMPAR INDUSTRIA E COMERCIO
46000000106,2023-07-05 00:00:00,45,UN,ITURRI COIMPAR INDUSTRIA E COMERCIO
46000000107,2023-07-05 00:00:00,90,UN,ITURRI COIMPAR INDUSTRIA E COMERCIO
46000000120,2023-07-05 00:00:00,4,UN,ITURRI COIMPAR INDUSTRIA E COMERCIO
46000000136,2023-07-05 00:00:00,19,UN,ITURRI COIMPAR INDUSTRIA E COMERCIO
46000000137,2023-07-05 00:00:00,95,UN,ITURRI COIMPAR INDUSTRIA E COMERCIO
46000000228,2023-07-05 00:00:00,9,CX,ITURRI COIMPAR INDUSTRIA E COMERCIO
46000000892,2023-07-05 00:00:00,4,UN,ESD ANTIESTATICOS COMERCIAL LTDA
46000000894,2023-07-03 00:00:00,1,UN,ESD ANTIESTATICOS COMERCIAL LTDA
84009-008,2023-07-05 00:00:00,84,PC,ITURRI COIMPAR INDUSTRIA E COMERCIO
84012-010,2023-07-05 00:00:00,10,UN,ITURRI COIMPAR INDUSTRIA E COMERCIO
